,stop_name,stop_lat,stop_lon
0,Budějovická,50.044411,14.448787
1,Chodov,50.031672,14.490961
2,Kolbenova,50.110395,14.516398
3,Ládví,50.126591,14.469451
4,Vltavská,50.100298,14.438492
5,Opatov,50.027889,14.509192
6,Nádraží Holešovice,50.108915,14.440073
7,Flora,50.078278,14.462592
8,Hloubětín,50.106688,14.53639
9,Hlavní nádraží,50.083506,14.434138
10,Bořislavka,50.098341,14.362832
11,Hradčanská,50.097443,14.40316
12,I. P. Pavlova,50.074333,14.430309
13,Jiřího z Poděbrad,50.077721,14.45075
14,Kačerov,50.041838,14.459309
15,Karlovo náměstí,50.074591,14.416978
16,Lužiny,50.044497,14.330442
17,Háje,50.030785,14.526974
18,Nemocnice Motol,50.075388,14.341519
19,Dejvická,50.100471,14.393175
20,Střížkov,50.126171,14.489543
21,Malostranská,50.091724,14.409214
22,Pankrác,50.051027,14.439683
23,Muzeum,50.079858,14.431383
24,Smíchovské nádraží,50.061306,14.40911
25,Nádraží Veleslavín,50.095861,14.348329
26,Vysočanská,50.110064,14.501081
27,Náměstí Míru,50.075312,14.439781
28,Náměstí Republiky,50.088825,14.430598
29,Petřiny,50.086842,14.344938
30,Českomoravská,50.106165,14.49169
31,Vyšehrad,50.063139,14.43052
32,Palmovka,50.103985,14.474795
33,Národní třída,50.07975,14.420293
34,Pražského povstání,50.056856,14.433312
35,Roztyly,50.03767,14.476739
36,Nové Butovice,50.050844,14.352149
37,Prosek,50.119246,14.498607
38,Invalidovna,50.096802,14.463152
39,Kobylisy,50.124121,14.454255
40,Jinonice,50.054209,14.369913
41,Florenc,50.090258,14.438409
42,Staroměstská,50.088203,14.417671
43,Strašnická,50.073072,14.490514
44,Křižíkova,50.092546,14.45134
45,Rajská zahrada,50.106848,14.560503
46,Černý Most,50.108967,14.576833
47,Želivského,50.078283,14.475479
48,Skalka,50.06843,14.507862
49,Radlická,50.058119,14.387758
50,Letňany,50.126245,14.516411
51,Luka,50.045671,14.321341
52,Anděl,50.06995,14.403768
53,Depo Hostivař,50.075533,14.515384
54,Můstek,50.083471,14.423972
55,Stodůlky,50.046701,14.306539
56,Zličín,50.053261,14.291104
57,Hůrka,50.050009,14.342792
